Hostel,Room Number,Yes or no to above question (Encounter with Insect),LED Or CFL,Have You Stayed here in April-June 2023 ?,How many times have you been bit or seen the insect?
MH-L,243,Dont Know,LED,NO,0
MH-L,237,Yes,CFL,YES,3
MH-L,233,No,CFL,NO,0
MH-L,229,No,LED,YES,0
MH-L,234,No,LED,YES,0
MH-L,243,No,LED,YES,0
MH-L,236,No,LED,YES,0
MH-L,244,Yes,LED,YES,1
MH-L,245,No,LED,YES,0
MH-L,306,No,LED,YES,0
MH-L,319,No,LED,YES,0
MH-L,314,Yes,ONE CFL ONE LED,NO,1
MH-L,316,Yes,LED,NO,1
MH-L,316,Yes,LED,NO,2
MH-L,317,No,LED,YES,0
MH-L,318,No,CFL,NO,0
MH-L,324,No,CFL,NO,0
MH-L,330,No,CFL,YES,0
MH-L,328,No,CFL,NO,0
MH-L,333,No,LED,YES,0
MH-L,326,No,LED,YES,0
MH-L,325,No,LED,YES,0
MH-L,346,No,LED,YES,0
MH-L,331,No,LED,YES,0
MH-L,332,Yes,LED,YES,2
MH-L,328,No,CFL,NO,0
MH-L,334,Yes,CFL,YES,4
MH-L,329,No,LED,NO,0
MH-L,307,No,LED,YES,0
MH-L,307,No,LED,YES,0
MH-L,302,No,LED,YES,0
MH-L,308,No,LED,YES,0
MH-L,309,Yes,CFL,YES,5
MH-L,303,No,ONE CFL ONE LED,NO,0
MH-L,310,No,LED,YES,0
MH-L,305,Yes,CFL,YES,3
MH-L,325,No,LED,YES,0
MH-L,340,No,LED,YES,0
MH-L,342,No,LED,YES,0
MH-L,346,No,CFL,YES,0
MH-L,336,No,CFL,YES,0
MH-L,344,No,CFL,NO,0
MH-L,338,No,CFL,YES,7
MH-L,338,Yes,CFL,YES,10
MH-L,345,No,CFL,YES,0
MH-L,347,No,CFL,YES,0
MH-L,341,No,LED,YES,0
MH-L,235,No,LED,YES,0
MH-L,227,No,LED,YES,0
MH-L,232,No,LED,YES,0
MH-L,226,No,ONE CFL ONE LED,YES,0
MH-L,231,No,CFL,YES,0
MH-L,230,No,LED,YES,0
MH-L,225,No,ONE CFL ONE LED,YES,0
MH-L,218,No,LED,YES,0
MH-L,224,No,LED,YES,0
MH-L,223,No,LED,YES,0
MH-L,216,No,LED,YES,0
MH-L,221,No,CFL,NO,0
MH-L,220,No,CFL,YES,0
MH-L,214,No,LED,YES,0
MH-L,206,No,LED,YES,0
MH-L,205,Yes,CFL,YES,10
MH-L,209,Yes,CFL,YES,15
MH-L,210,No,LED,NO,0
MH-L,204,Yes,CFL,YES,4
MH-L,208,No,LED,YES,0
MH-L,202,Yes,CFL,YES,4
MH-L,207,Yes,CFL,YES,25
MH-L,201,Yes,CFL,YES,10
MH-L,107,No,LED,YES,0
MH-L,101,No,LED,YES,0
MH-L,109,No,CFL,YES,0
MH-L,108,No,ONE CFL ONE LED,NO,0
MH-L,111,No,CFL,NO,0
MH-L,103,No,LED,YES,0
MH-L,113,No,LED,YES,0
MH-L,119,No,ONE CFL ONE LED,YES,0
MH-L,114,No,LED,YES,0
MH-L,115,No,CFL,YES,0
MH-L,120,No,CFL,YES,0
MH-L,122,No,ONE CFL ONE LED,YES,0
MH-L,125,No,LED,YES,0
MH-L,115,No,LED,YES,0
MH-L,121,No,ONE CFL ONE LED,YES,0
MH-L,117,No,CFL,YES,0
MH-L,130,No,LED,YES,0
MH-L,126,Yes,ONE CFL ONE LED,YES,0
MH-L,133,Yes,LED,YES,0
MH-L,128,No,CFL,YES,0
MH-L,134,No,CFL,YES,0
MH-L,129,No,LED,YES,0
MH-L,142,No,LED,YES,0
